
### ECU03_1140; Top matches across all predictors. Sorted by q-scores: duplicated RCSB PDB entries are not shown
ECU03_1140-m4	RAPTORX	3KDF	B	0.8223	0.6475	0.1560	109	118	pdb3kdf.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m4	RAPTORX	1QUQ	A	0.7851	0.7877	0.1560	109	121	pdb1quq.ent.gz	PROTEIN (REPLICATION PROTEIN A 32 KD SUBUNIT)
ECU03_1140-m4	RAPTORX	3KDF	D	0.7850	0.9820	0.1545	110	119	pdb3kdf.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m4	RAPTORX	1L1O	E	0.7839	0.8083	0.1545	110	123	pdb1l1o.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m4	RAPTORX	2PI2	D	0.7821	0.7078	0.1560	109	123	pdb2pi2.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m3	RAPTORX	1L1O	B	0.7550	1.0115	0.1545	110	123	pdb1l1o.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m3	RAPTORX	2PI2	B	0.7530	0.8878	0.1560	109	124	pdb2pi2.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m1	RAPTORX	1QUQ	C	0.6763	1.3940	0.1589	107	119	pdb1quq.ent.gz	PROTEIN (REPLICATION PROTEIN A 32 KD SUBUNIT)
ECU03_1140-m1	RAPTORX	3KF6	A	0.6704	1.0992	0.1364	110	136	pdb3kf6.ent.gz	PROTEIN STN1
ECU03_1140-m2	ALPHAFOLD	2PQA	A	0.6578	1.6328	0.1593	113	128	pdb2pqa.ent.gz	REPLICATION PROTEIN A 32 KDA SUBUNIT
ECU03_1140-m1	RAPTORX	4GNX	B	0.6551	1.4212	0.1215	107	122	pdb4gnx.ent.gz	PUTATIVE UNCHARACTERIZED PROTEIN
ECU03_1140-m2	ALPHAFOLD	4GOP	B	0.6513	1.6472	0.1182	110	122	pdb4gop.ent.gz	PUTATIVE UNCHARACTERIZED PROTEIN
ECU03_1140-m2	RAPTORX	4JOI	A	0.6316	0.9430	0.1215	107	141	pdb4joi.ent.gz	CST COMPLEX SUBUNIT STN1
ECU03_1140-m5	RAPTORX	4GOP	Y	0.5354	1.1860	0.1383	94	122	pdb4gop.ent.gz	PUTATIVE UNCHARACTERIZED PROTEIN
ECU03_1140-m5	RAPTORX	4GNX	Y	0.5304	1.0308	0.1413	92	122	pdb4gnx.ent.gz	PUTATIVE UNCHARACTERIZED PROTEIN

### ECU06_1350; Top matches across all predictors. Sorted by q-scores: duplicated RCSB PDB entries are not shown
ECU06_1350-m3	RAPTORX	4QWO	A	0.8062	0.6566	0.0543	129	134	pdb4qwo.ent.gz	PROFILIN
ECU06_1350-m3	RAPTORX	4QWO	B	0.8006	0.7017	0.0547	128	132	pdb4qwo.ent.gz	PROFILIN
ECU06_1350-m1	RAPTORX	2VK3	A	0.7950	0.7701	0.0827	133	142	pdb2vk3.ent.gz	PROFILIN-2
ECU06_1350-m1	RAPTORX	2V8C	A	0.7779	0.9305	0.0758	132	139	pdb2v8c.ent.gz	PROFILIN-2
ECU06_1350-m1	RAPTORX	1PNE	A	0.7726	0.9662	0.0833	132	139	pdb1pne.ent.gz	PROFILIN
ECU06_1350-m1	RAPTORX	2V8F	A	0.7715	0.9734	0.0833	132	139	pdb2v8f.ent.gz	PROFILIN-2
ECU06_1350-m1	RAPTORX	1HLU	P	0.7687	0.9920	0.0833	132	139	pdb1hlu.ent.gz	
ECU06_1350-m3	RAPTORX	3UB5	P	0.7368	1.1222	0.0840	131	139	pdb3ub5.ent.gz	PROFILIN-1
ECU06_1350-m3	RAPTORX	1CF0	B	0.7337	1.1039	0.0846	130	138	pdb1cf0.ent.gz	PROTEIN (PROFILIN)
ECU06_1350-m3	RAPTORX	1CJF	A	0.7333	1.1065	0.0846	130	138	pdb1cjf.ent.gz	PROTEIN (HUMAN PLATELET PROFILIN)
ECU06_1350-m2	RAPTORX	5ZZA	P	0.7265	0.7277	0.1552	116	119	pdb5zza.ent.gz	UNCHARACTERIZED PROTEIN
ECU06_1350-m5	RAPTORX	6IQI	B	0.7000	0.9682	0.1311	122	131	pdb6iqi.ent.gz	PROFILIN-2
ECU06_1350-m5	RAPTORX	6IQI	A	0.6977	0.9394	0.1240	121	130	pdb6iqi.ent.gz	PROFILIN-2
ECU06_1350-m5	RAPTORX	6IQK	C	0.6943	1.0286	0.1600	125	137	pdb6iqk.ent.gz	PROFILIN-5
